RBD,DV_RBD,NOM_RBD,RBD_A1,RBD_A2,COD_DEPE,COD_DEPE2,COD_REG_RBD,COD_PRO_RBD,COD_COM_RBD,NOM_COM_RBD,COD_DEPROV_RBD,NOM_DEPROV_RBD,RURAL_RBD,EFECTIVR,SUPERAR,INICIAR,MEJORAR,INTEGRAR,IGUALDR,CLUSTER,INDICER,SEL2018_25,SEL2018_35,SEL
1,9,LICEO POLITECNICO ARICA,,,2,1,15,151,15101,ARICA,151,ARICA,1,"30,3737725939171","60,6666808420415","82,7818181818182",50,"64,9166666666667","89,0657124147726",1532,"57,0321656510133",2,2,3
2,7,PARVULARIO LAS ESPIGUITAS,,,2,1,15,151,15101,ARICA,151,ARICA,1,"46,3079949762429","61,8948455474666",0,100,0,"94,5131166035536",1512,"57,2574005472823",2,2,3
3,5,ESC. PEDRO VICENTE GUTIERREZ TORRES,,,2,1,15,151,15101,ARICA,151,ARICA,2,"45,2840329171015","62,572863863356",0,100,0,"89,9330063340456",1521,"56,0607554545573",2,2,3
4,3,LICEO OCTAVIO PALMA PEREZ,,,2,1,15,151,15101,ARICA,151,ARICA,1,"55,2707156282721","59,2734294365473","93,77",100,"91,6666666666667","96,5992578768044",1532,"70,5080950909242",2,2,3
5,1,JOVINA NARANJO FERNANDEZ,,,2,1,15,151,15101,ARICA,151,ARICA,1,"57,4080571961135","59,1221445752656","97,19","87,5","67,5833333333333","95,7707792670557",1532,"69,8253197490553",2,2,3
7,8,L. POLI. ANTONIO VARAS DE LA BARRA,,,2,1,15,151,15101,ARICA,151,ARICA,1,"34,2489232122232","70,3736032357905",0,"87,5",0,"93,2368385566646",1532,"54,6388149770101",2,2,3
8,6,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,,,2,1,15,151,15101,ARICA,151,ARICA,1,"40,0661539519923","66,587900608536","91,9",100,"73,75","91,809098090522",1532,"64,8685907125421",2,2,3
9,4,ESCUELA REPUBLICA DE ISRAEL,,,2,1,15,151,15101,ARICA,151,ARICA,1,"55,7221734521495","69,6169200295955","96,19",75,"96,3333333333333","97,0755679958839",1511,"73,5546334113432",2,1,2
10,8,ESCUELA REPUBLICA DE FRANCIA,,,2,1,15,151,15101,ARICA,151,ARICA,1,"50,4275090753131","70,9071489689327",0,100,0,"95,6648363238017",1512,"61,5584440604034",2,2,3
11,6,ESC. GRAL. PEDRO LAGOS MARCHANT,,,2,1,15,151,15101,ARICA,151,ARICA,1,"43,074033303847","46,3279049047416","81,98",75,"50,4166666666667","94,773729415463",1512,"58,6990595004863",2,2,3
12,4,ESCUELA GRAL JOSE MIGUEL CARRERA,,,2,1,15,151,15101,ARICA,151,ARICA,1,"58,5631626578683","62,0024236341695","97,3",100,"95,8333333333333","96,6721208404542",1512,"72,9265820525453",1,2,1
13,2,ESCUELA MANUEL RODRIGUEZ ERDOYZA,,,2,1,15,151,15101,ARICA,151,ARICA,1,"51,119597937624","67,5356903047631","91,56",100,"90,4166666666667","95,8071514746701",1512,"70,9162511800153",1,2,1
14,0,ESCUELA ROMULO J. PENA MATURANA,,,2,1,15,151,15101,ARICA,151,ARICA,1,"40,8064093833789","63,3848077807285","85,84",100,"63,3333333333333","95,1716716850512",1512,"64,1009520878321",2,2,3
15,9,LICEO ARTISTICO DR. JUAN NOE CREVANI,,,2,1,15,151,15101,ARICA,151,ARICA,1,"38,4759086472321","60,6877080756707","98,08",100,62,"91,7402764453618",1532,"62,3963052786433",2,2,3
16,7,ESCUELA REGIMIENTO RANCAGUA,,,2,1,15,151,15101,ARICA,151,ARICA,1,"39,5754196083616","61,3256323668598",0,100,0,"93,8319371739621",1512,"54,4571084960862",2,2,3
17,5,ESCUELA SUBTTE. LUIS CRUZ MARTINEZ,,,2,1,15,151,15101,ARICA,151,ARICA,1,"42,1456776662118","63,4247619866451","96,38",100,"75,5833333333333","95,7475617717315",1512,"65,9792643492066",2,2,3
18,3,ESC. COMTE. JUAN JOSE SAN MARTIN,,,2,1,15,151,15101,ARICA,151,ARICA,1,"39,1214884962162","57,1232775386274",0,100,0,"95,5083018565976",1512,"53,4812948628671",2,2,3
19,1,ESC. HUMBERTO VALENZUELA GARCIA,,,2,1,15,151,15101,ARICA,151,ARICA,1,"50,7707805774765","65,1935353275093","94,16","87,5","88,3333333333333","96,814087273485",1512,"70,1547445722023",2,1,2
20,5,ESCUELA TUCAPEL,,,2,1,15,151,15101,ARICA,151,ARICA,1,"42,5520230747596","56,7131521424596","88,07",100,"80,4166666666667","95,8905492156792",1512,"64,0248852983325",2,2,3
22,1,ESCUELA GABRIELA MISTRAL,,,2,1,15,151,15101,ARICA,151,ARICA,1,"38,3886739308953","58,5177071792758","92,31","87,5","56,6666666666667","95,3994461717835",1512,"61,6985788557542",2,2,3
25,6,COLEGIO CENTENARIO DE ARICA,,,2,1,15,151,15101,ARICA,151,ARICA,1,"38,6519646092821","61,7247837299955","93,81","87,5","65,1666666666667","94,2721268878351",1532,"62,9609675984902",2,2,3
26,4,ESCUELA REPUBLICA DE ARGENTINA,,,2,1,15,151,15101,ARICA,151,ARICA,1,"59,7572882975559","66,1054005339442","96,13","87,5","89,9166666666667","94,969989519739",1512,"73,526739847276",1,2,1
27,2,ESCUELA ESMERALDA,,,2,1,15,151,15101,ARICA,151,ARICA,1,"46,0394592441964","65,3455210571939",0,100,0,"70,2850259728083",1512,"52,7940515303848",2,2,3
28,0,ESCUELA RICARDO SILVA ARRIAGADA,,,2,1,15,151,15101,ARICA,151,ARICA,1,"54,5758984393445","59,6934540358359","94,97",75,"91,8333333333333","97,0495792824172",1512,"70,04802366139",2,2,3
29,9,ESCUELA AMERICA,,,2,1,15,151,15101,ARICA,151,ARICA,1,"37,7324507648807","58,4536855931833",0,"87,5",0,"95,1753146415001",1512,"53,0166079702272",2,2,3
30,2,ESCUELA DR. RICARDO OLEA GUERRA,10913,,2,1,15,151,15101,ARICA,151,ARICA,1,,,"91,9625","87,2777777777778","86,5","98,0471953946955",1551,"94,7391101320248",1,2,1
31,0,ESCUELA DARIO SALAS DIAZ,,,2,1,15,151,15101,ARICA,151,ARICA,2,"49,3914988442738","56,5519893769707","95,51","87,5","75,8333333333333","97,9439766441241",1521,"66,929353126307",2,2,3
32,9,LICEO AGRICOLA JOSE ABELARDO NUNEZ M.,,,2,1,15,151,15101,ARICA,151,ARICA,2,"41,3557055657017","64,8171628282159","93,3454545454545","87,5",82,"95,7989403148358",1541,"65,9769107932012",1,2,1
33,7,ESCUELA CARLOS CONDELL DE LA HAZA,,,2,1,15,151,15101,ARICA,151,ARICA,2,"62,168885512024","69,557396987472","94,23",100,"70,5","97,5921696247782",1521,"75,1276361133922",1,2,1
35,3,ESCUELA GRAL. MANUEL BAQUEDANO,,,2,1,15,151,15101,ARICA,151,ARICA,2,"39,3713685172416","63,2747901081245",0,75,0,"94,4151237878667",1521,"54,5556748149849",2,2,3
36,1,ESCUELA IGNACIO CARRERA PINTO,,,2,1,15,151,15101,ARICA,151,ARICA,1,"37,3035720377702","57,9391815995598","96,94",100,"97,5","96,4705449559262",1512,"63,9402123921555",2,2,3
38,8,ESCUELA ESPAÑA,,,2,1,15,151,15101,ARICA,151,ARICA,2,"51,3666216073649","65,4624074101575","90,49","87,5","92,9166666666667","97,8838510773151",1521,"70,6948046399118",1,2,1
39,6,ESCUELA PAMPA ALGODONAL,,,2,1,15,151,15101,ARICA,151,ARICA,2,"27,669105767561","60,7785173665586",0,75,0,"92,2594413642407",1521,"49,0526310967669",2,2,3
41,8,ESCUELA VALLE DE CHACA,,,2,1,15,151,15101,ARICA,151,ARICA,2,"33,9449174802456","60,7785173665586",0,100,0,"97,2281734971436",1521,"52,9678024996989",2,2,3
42,6,ESCUELA MOLINOS LLUTA,,,2,1,15,151,15101,ARICA,151,ARICA,2,"42,7733910507009","60,7785173665586","77,5",100,"84,8","95,6511447533369",1521,"64,7773913971299",2,2,3
43,4,JARDIN INFANTIL CEPILLIN,,,3,2,15,151,15101,ARICA,151,ARICA,1,"46,3079949762429","61,8948455474666",0,75,0,"92,5035423889827",1512,"56,3152942200767",2,2,3
45,0,COLEGIO ITALIANO SANTA ANA,,,3,2,15,151,15101,ARICA,151,ARICA,1,"57,8690581830768","59,9245599001706",0,"87,5",0,"94,6886928052505",1531,"60,7719407169413",2,2,3
46,9,JARDIN INFANTIL SAN ANDRES,,,3,2,15,151,15101,ARICA,151,ARICA,1,"46,3079949762429","61,8948455474666",0,100,0,"92,5035423889827",1512,"56,8152942200767",2,2,3
49,3,JARDIN INFANTIL PADRE LUIS GALLARDO,,,3,2,15,151,15101,ARICA,151,ARICA,1,"46,3079949762429","61,8948455474666",0,"87,5",0,"92,5035423889827",1512,"56,5652942200767",2,2,3
50,7,COLEGIO ADVENTISTA DE ARICA,,,3,2,15,151,15101,ARICA,151,ARICA,1,"61,7867504006081","60,4055884219923","94,72",100,"78,9166666666667","97,9471264488713",1532,"72,9520635584679",2,2,3
52,3,LICEO DOMINGO SANTA MARIA,,,3,2,15,151,15101,ARICA,151,ARICA,1,"65,6487657642446","64,9761461248064","99,1727272727273",100,"99,1666666666667","95,2634143690437",1532,"76,3500123786029",1,2,1
55,8,JARDIN INFANTIL MONTESSORI GARDEN,,,3,2,15,151,15101,ARICA,151,ARICA,1,"46,3079949762429","61,8948455474666","95,9454545454546","87,5",97,"95,7742976623532",1512,"67,8915876529455",2,2,3
56,6,COLEGIO SAN MARCOS DE ARICA,,,3,2,15,151,15101,ARICA,151,ARICA,1,"64,1996433636143","62,4003026777518","94,06",100,"88,1666666666667","96,7057524911463",1531,"74,5531516756933",1,2,1
58,2,JARDIN INFANTIL PETETE J.M. BORGOÐO,,,3,2,15,151,15101,ARICA,151,ARICA,1,"46,3079949762429","61,8948455474666",0,100,0,"92,5035423889827",1512,"56,8152942200767",2,2,3
60,4,COLEGIO ALEMAN DE ARICA,,,3,2,15,151,15101,ARICA,151,ARICA,1,"55,9030827048297","67,1302262391183","82,55","37,5","66,5","93,992887531113",1531,"69,187039204585",2,2,3
66,3,JARDIN INFANTIL PLUTO,,,3,2,15,151,15101,ARICA,151,ARICA,1,"46,3079949762429","61,8948455474666",0,100,0,"92,5035423889827",1512,"56,8152942200767",2,2,3
67,1,ABRAHAM LINCOLN SCHOOL,,,3,2,15,151,15101,ARICA,151,ARICA,1,"58,6333652850116","57,5600928163494","66,17",100,"49,3333333333333","96,4430483486332",1531,"67,4655084473981",2,2,3
70,1,ESCUELA VALLE DE ESQUINA,,,2,1,15,151,15102,CAMARONES,151,ARICA,2,"45,2840329171015","62,572863863356",0,"87,5",0,"88,7875631406812",1521,"55,5587579520171",2,2,3
72,8,LICEO VALLE DE CODPA,,,2,1,15,151,15102,CAMARONES,151,ARICA,2,"37,8757983807679","61,6725432444097","62,6","87,5","57,0833333333333","87,2326090770655",1541,"58,8336981729399",2,2,3
73,6,ESCUELA VALLE DE COBIJA,,,2,1,15,151,15102,CAMARONES,151,ARICA,2,"45,2840329171015","62,572863863356","63,3444444444444",100,38,"84,2296335481915",1521,"60,506680108336",2,2,3
74,4,ESCUELA VALLE DE CAMARONES,,,2,1,15,151,15102,CAMARONES,151,ARICA,2,"45,2840329171015","62,572863863356",0,100,0,"97,2281734971436",1521,"57,6656922304388",2,2,3
75,2,ESCUELA VALLE DE GUANACAGUA,,,2,1,15,151,15102,CAMARONES,151,ARICA,2,"45,2840329171015","62,572863863356",0,"87,5",0,"93,6710933971644",1521,"56,6331346084434",2,2,3
76,0,ESCUELA VALLE DE CUYA,,,2,1,15,151,15102,CAMARONES,151,ARICA,2,"64,7577546649653","62,572863863356",0,"87,5",0,"85,3263803102801",1521,"62,0025747760385",2,2,3
78,7,LICEO GRANADEROS,,,2,1,15,152,15201,PUTRE,151,ARICA,2,"36,4835157148316","54,6320975983234","70,2454545454546",100,"36,0833333333333","95,6072127379075",1541,"57,8483688837519",2,2,3
79,5,ESCUELA EL MARQUEZ,,,2,1,15,152,15201,PUTRE,151,ARICA,2,"39,9545489126439","64,6480064208354",0,75,0,"92,7405823242911",1521,"54,7875530068562",2,2,3
81,7,ESCUELA PAYACHATAS,,,2,1,15,152,15201,PUTRE,151,ARICA,2,"45,2840329171015","62,572863863356",0,100,0,"93,5143049403001",1521,"56,8486411479333",2,2,3
82,5,ESCUELA SAN FRANCISCO DE ASIS,,,2,1,15,152,15201,PUTRE,151,ARICA,2,"63,8342848665797","62,572863863356",0,100,0,"94,6284655073532",1521,"63,9573496939918",2,2,3
83,3,ESCUELA COTA COTANI,,,2,1,15,152,15201,PUTRE,151,ARICA,2,"45,2840329171015","62,572863863356",0,100,0,"95,0617501723182",1521,"57,1890790989773",2,2,3
84,1,ESCUELA LOS ALAMOS,,,2,1,15,152,15201,PUTRE,151,ARICA,2,"45,2840329171015","62,572863863356",0,100,0,"90,7289035226675",1521,"56,2358528360541",2,2,3
86,8,ESCUELA SAN SANTIAGO DE BELEN,,,2,1,15,152,15201,PUTRE,151,ARICA,2,"45,2840329171015","62,572863863356",0,100,0,"93,5143049403001",1521,"56,8486411479333",2,2,3
87,6,ESCUELA ANCOLACANE,,,2,1,15,152,15202,GENERAL LAGOS,151,ARICA,2,"45,2840329171015","62,572863863356",0,"87,5",0,"97,2281734971436",1521,"57,4156922304388",2,2,3
88,4,ESCUELA ALCERRECA,,,2,1,15,152,15202,GENERAL LAGOS,151,ARICA,2,"45,2840329171015","62,572863863356",0,100,0,"97,2281734971436",1521,"57,6656922304388",2,2,3
89,2,ESCUELA HUMAPALCA,,,2,1,15,152,15202,GENERAL LAGOS,151,ARICA,2,"45,2840329171015","62,572863863356",0,100,0,"87,4792685354295",1521,"55,5209331388617",2,2,3
90,6,ESCUELA INTERNADO VISVIRI,,,2,1,15,152,15202,GENERAL LAGOS,151,ARICA,2,"22,8919848594324","61,3256323668598",0,100,0,"88,7543387204389",1521,"47,1671659792073",2,2,3
91,4,ESCUELA COSAPILLA,,,2,1,15,152,15202,GENERAL LAGOS,151,ARICA,2,"45,2840329171015","62,572863863356",0,"87,5",0,"90,7289035226675",1521,"55,9858528360541",2,2,3
92,2,ESCUELA CHISLLUMA,,,2,1,15,152,15202,GENERAL LAGOS,151,ARICA,2,"45,2840329171015","62,572863863356",0,"87,5",0,"97,2281734971436",1521,"57,4156922304388",2,2,3
93,0,ESCUELA CHUJLLUTA,,,2,1,15,152,15202,GENERAL LAGOS,151,ARICA,2,"45,2840329171015","62,572863863356",0,"87,5",0,"87,2178819657298",1521,"55,2134280935278",2,2,3
94,9,ESCUELA GUACOYO,,,2,1,15,152,15202,GENERAL LAGOS,151,ARICA,2,"45,2840329171015","62,572863863356",0,"87,5",0,"83,8651081213326",1521,"54,4758178477604",2,2,3
95,7,ESCUELA COLPITAS,,,2,1,15,152,15202,GENERAL LAGOS,151,ARICA,2,"45,2840329171015","62,572863863356",0,100,0,"97,2281734971436",1521,"57,6656922304388",2,2,3
97,3,INST. COM. DE IQUIQUE BALDOMERO WOLNITZKY,,,1,1,1,11,1101,IQUIQUE,11,IQUIQUE,1,"39,9409752829002","62,5665691222608","28,2",100,12,"87,7120680705403",132,"55,885455184425",2,2,3
102,3,ESC.EDUC.ESPECIAL FLOR DEL INCA,,,1,1,1,11,1101,IQUIQUE,11,IQUIQUE,1,,,0,100,0,"92,5035423889827",151,"63,8593699195085",2,2,3
103,1,ESC.EDUC.GRAL.BAS.Y DES.ART.VIOLETA PARRA,,,1,1,1,11,1101,IQUIQUE,11,IQUIQUE,1,"39,5638108489465","70,185736094132",0,100,0,"96,3676707368329",132,"57,4915036825704",2,2,3
105,8,CENTRO DE CAPACITACION LABORAL,,,1,1,1,11,1101,IQUIQUE,11,IQUIQUE,1,,,"98,2",100,"97,5","98,0471953946955",151,"98,1068085407332",1,2,1
106,6,INSTITUTO DEL MAR ALMIRANTE CARLOS CONDEL,,,5,4,1,11,1101,IQUIQUE,11,IQUIQUE,1,"40,4651287608982","59,8206529649563",0,100,0,"87,6256106016937",132,"52,9995148040927",2,2,3
107,4,LICEO LIBERT. GRAL.BERNARDO O´HIGGINS,,,1,1,1,11,1101,IQUIQUE,11,IQUIQUE,1,"40,0152810588231","56,4971543502349","81,76",100,"43,8333333333333","90,8156757849258",132,"59,7015725491807",2,2,3
108,2,LICEO POLITEC. JOSE GUTIERREZ DE LA FUEN,,,1,1,1,11,1101,IQUIQUE,11,IQUIQUE,1,"30,4647736560885","62,3132506848982",0,100,0,"87,9239473685903",132,"50,0629448656141",2,2,3
109,0,LICEO ELENA DUVAUCHELLE CABEZON,,,1,1,1,11,1101,IQUIQUE,11,IQUIQUE,1,"32,8564105443349","62,5665691222608",0,"87,5",0,"83,452736243419",132,"49,7851132291891",2,2,3
110,4,LICEO BICENTENARIO DOMINGO SANTA MARIA DE IQQ.,,,1,1,1,11,1101,IQUIQUE,11,IQUIQUE,1,"46,8562062294372","58,2524078138004","78,18",100,"54,8333333333333","94,2042118392521",132,"63,804863764058",2,2,3
111,2,ESCUELA GABRIELA MISTRAL,,,1,1,1,11,1101,IQUIQUE,11,IQUIQUE,1,"42,9019104279107","65,4450183333628","96,17",100,"97,5","96,2968731823211",112,"68,0288240917792",1,2,1
